Node,Energy_Type,Period,Type,Value
Austria,Bio,1,Generation,0.0
Austria,Bio,2,Generation,0.0
Austria,Bio,3,Generation,0.0
Austria,Bio,4,Generation,0.0
Austria,Bio,5,Generation,0.0
Austria,Bio,6,Generation,0.0
Austria,Bio,7,Generation,0.0
Austria,Bio,8,Generation,0.0
Austria,Bio10cofiring,1,Generation,0.0
Austria,Bio10cofiring,2,Generation,0.0
Austria,Bio10cofiring,3,Generation,0.0
Austria,Bio10cofiring,4,Generation,0.0
Austria,Bio10cofiring,5,Generation,0.0
Austria,Bio10cofiring,6,Generation,0.0
Austria,Bio10cofiring,7,Generation,0.0
Austria,Bio10cofiring,8,Generation,0.0
Austria,Bio10cofiringCCS,1,Generation,0.0
Austria,Bio10cofiringCCS,2,Generation,0.0
Austria,Bio10cofiringCCS,3,Generation,0.0
Austria,Bio10cofiringCCS,4,Generation,0.0
Austria,Bio10cofiringCCS,5,Generation,0.0
Austria,Bio10cofiringCCS,6,Generation,0.0
Austria,Bio10cofiringCCS,7,Generation,0.0
Austria,Bio10cofiringCCS,8,Generation,0.0
Austria,Bioexisting,1,Generation,0.0
Austria,Bioexisting,2,Generation,0.0
Austria,Bioexisting,3,Generation,0.0
Austria,Bioexisting,4,Generation,0.0
Austria,Bioexisting,5,Generation,0.0
Austria,Bioexisting,6,Generation,0.0
Austria,Bioexisting,7,Generation,0.0
Austria,Bioexisting,8,Generation,0.0
Austria,Coal,1,Generation,0.0
Austria,Coal,2,Generation,0.0
Austria,Coal,3,Generation,0.0
Austria,Coal,4,Generation,0.0
Austria,Coal,5,Generation,0.0
Austria,Coal,6,Generation,0.0
Austria,Coal,7,Generation,0.0
Austria,Coal,8,Generation,0.0
Austria,CoalCCSadv,1,Generation,0.0
Austria,CoalCCSadv,2,Generation,0.0
Austria,CoalCCSadv,3,Generation,0.0
Austria,CoalCCSadv,4,Generation,0.0
Austria,CoalCCSadv,5,Generation,0.0
Austria,CoalCCSadv,6,Generation,0.0
Austria,CoalCCSadv,7,Generation,0.0
Austria,CoalCCSadv,8,Generation,0.0
Austria,Coalexisting,1,Generation,0.0
Austria,Coalexisting,2,Generation,0.0
Austria,Coalexisting,3,Generation,0.0
Austria,Coalexisting,4,Generation,0.0
Austria,Coalexisting,5,Generation,0.0
Austria,Coalexisting,6,Generation,0.0
Austria,Coalexisting,7,Generation,0.0
Austria,Coalexisting,8,Generation,0.0
Austria,GasCCGT,1,Generation,0.0
Austria,GasCCGT,2,Generation,0.0
Austria,GasCCGT,3,Generation,0.0
Austria,GasCCGT,4,Generation,0.0
Austria,GasCCGT,5,Generation,0.0
Austria,GasCCGT,6,Generation,0.0
Austria,GasCCGT,7,Generation,0.0
Austria,GasCCGT,8,Generation,0.0
Austria,GasCCSadv,1,Generation,0.0
Austria,GasCCSadv,2,Generation,0.0
Austria,GasCCSadv,3,Generation,0.0
Austria,GasCCSadv,4,Generation,0.0
Austria,GasCCSadv,5,Generation,0.0
Austria,GasCCSadv,6,Generation,0.0
Austria,GasCCSadv,7,Generation,0.0
Austria,GasCCSadv,8,Generation,0.0
Austria,GasOCGT,1,Generation,0.0
Austria,GasOCGT,2,Generation,0.0
Austria,GasOCGT,3,Generation,0.0
Austria,GasOCGT,4,Generation,0.0
Austria,GasOCGT,5,Generation,0.0
Austria,GasOCGT,6,Generation,0.0
Austria,GasOCGT,7,Generation,0.0
Austria,GasOCGT,8,Generation,0.0
Austria,Gasexisting,1,Generation,0.0
Austria,Gasexisting,2,Generation,0.0
Austria,Gasexisting,3,Generation,0.0
Austria,Gasexisting,4,Generation,0.0
Austria,Gasexisting,5,Generation,0.0
Austria,Gasexisting,6,Generation,0.0
Austria,Gasexisting,7,Generation,0.0
Austria,Gasexisting,8,Generation,0.0
Austria,Geo,1,Generation,0.0
Austria,Geo,2,Generation,0.0
Austria,Geo,3,Generation,0.0
Austria,Geo,4,Generation,0.0
Austria,Geo,5,Generation,0.0
Austria,Geo,6,Generation,0.0
Austria,Geo,7,Generation,0.0
Austria,Geo,8,Generation,0.0
Austria,Hydroregulated,1,Generation,0.0
Austria,Hydroregulated,2,Generation,0.0
Austria,Hydroregulated,3,Generation,0.0
Austria,Hydroregulated,4,Generation,0.0
Austria,Hydroregulated,5,Generation,0.0
Austria,Hydroregulated,6,Generation,0.0
Austria,Hydroregulated,7,Generation,0.0
Austria,Hydroregulated,8,Generation,0.0
Austria,Hydrorun-of-the-river,1,Generation,4031.0100120929487
Austria,Hydrorun-of-the-river,2,Generation,1480.289987907051
Austria,Hydrorun-of-the-river,3,Generation,0.0
Austria,Hydrorun-of-the-river,4,Generation,0.0
Austria,Hydrorun-of-the-river,5,Generation,0.0
Austria,Hydrorun-of-the-river,6,Generation,0.0
Austria,Hydrorun-of-the-river,7,Generation,0.0
Austria,Hydrorun-of-the-river,8,Generation,0.0
Austria,Oilexisting,1,Generation,0.0
Austria,Oilexisting,2,Generation,0.0
Austria,Oilexisting,3,Generation,0.0
Austria,Oilexisting,4,Generation,0.0
Austria,Oilexisting,5,Generation,0.0
Austria,Oilexisting,6,Generation,0.0
Austria,Oilexisting,7,Generation,0.0
Austria,Oilexisting,8,Generation,0.0
Austria,Solar,1,Generation,0.0
Austria,Solar,2,Generation,0.0
Austria,Solar,3,Generation,0.0
Austria,Solar,4,Generation,0.0
Austria,Solar,5,Generation,2124.2433320604964
Austria,Solar,6,Generation,1427.845167709691
Austria,Solar,7,Generation,6724.476201598083
Austria,Solar,8,Generation,4749.179506308257
Austria,Waste,1,Generation,1.1000000000000014
Austria,Waste,2,Generation,0.0
Austria,Waste,3,Generation,0.0
Austria,Waste,4,Generation,0.0
Austria,Waste,5,Generation,0.0
Austria,Waste,6,Generation,0.0
Austria,Waste,7,Generation,0.0
Austria,Waste,8,Generation,0.0
Austria,Windonshore,1,Generation,0.0
Austria,Windonshore,2,Generation,0.0
Austria,Windonshore,3,Generation,5356.131441495361
Austria,Windonshore,4,Generation,2835.110354693563
Austria,Windonshore,5,Generation,6648.831419221143
Austria,Windonshore,6,Generation,2429.0916508301952
Austria,Windonshore,7,Generation,1154.8000000000002
Austria,Windonshore,8,Generation,3911.3437434298585
Belgium,Bio,1,Generation,0.0
Belgium,Bio,2,Generation,0.0
Belgium,Bio,3,Generation,0.0
Belgium,Bio,4,Generation,0.0
Belgium,Bio,5,Generation,0.0
Belgium,Bio,6,Generation,0.0
Belgium,Bio,7,Generation,0.0
Belgium,Bio,8,Generation,0.0
Belgium,Bio10cofiring,1,Generation,0.0
Belgium,Bio10cofiring,2,Generation,0.0
Belgium,Bio10cofiring,3,Generation,0.0
Belgium,Bio10cofiring,4,Generation,0.0
Belgium,Bio10cofiring,5,Generation,0.0
Belgium,Bio10cofiring,6,Generation,0.0
Belgium,Bio10cofiring,7,Generation,0.0
Belgium,Bio10cofiring,8,Generation,0.0
Belgium,Bio10cofiringCCS,1,Generation,0.0
Belgium,Bio10cofiringCCS,2,Generation,0.0
Belgium,Bio10cofiringCCS,3,Generation,0.0
Belgium,Bio10cofiringCCS,4,Generation,0.0
Belgium,Bio10cofiringCCS,5,Generation,0.0
Belgium,Bio10cofiringCCS,6,Generation,0.0
Belgium,Bio10cofiringCCS,7,Generation,0.0
Belgium,Bio10cofiringCCS,8,Generation,0.0
Belgium,Bioexisting,1,Generation,0.0
Belgium,Bioexisting,2,Generation,0.0
Belgium,Bioexisting,3,Generation,0.0
Belgium,Bioexisting,4,Generation,0.0
Belgium,Bioexisting,5,Generation,0.0
Belgium,Bioexisting,6,Generation,0.0
Belgium,Bioexisting,7,Generation,0.0
Belgium,Bioexisting,8,Generation,0.0
Belgium,Coal,1,Generation,0.0
Belgium,Coal,2,Generation,0.0
Belgium,Coal,3,Generation,0.0
Belgium,Coal,4,Generation,0.0
Belgium,Coal,5,Generation,0.0
Belgium,Coal,6,Generation,0.0
Belgium,Coal,7,Generation,0.0
Belgium,Coal,8,Generation,0.0
Belgium,CoalCCSadv,1,Generation,0.0
Belgium,CoalCCSadv,2,Generation,0.0
Belgium,CoalCCSadv,3,Generation,0.0
Belgium,CoalCCSadv,4,Generation,0.0
Belgium,CoalCCSadv,5,Generation,0.0
Belgium,CoalCCSadv,6,Generation,0.0
Belgium,CoalCCSadv,7,Generation,0.0
Belgium,CoalCCSadv,8,Generation,0.0
Belgium,GasCCGT,1,Generation,0.0
Belgium,GasCCGT,2,Generation,0.0
Belgium,GasCCGT,3,Generation,0.0
Belgium,GasCCGT,4,Generation,0.0
Belgium,GasCCGT,5,Generation,0.0
Belgium,GasCCGT,6,Generation,0.0
Belgium,GasCCGT,7,Generation,0.0
Belgium,GasCCGT,8,Generation,0.0
Belgium,GasCCSadv,1,Generation,0.0
Belgium,GasCCSadv,2,Generation,0.0
Belgium,GasCCSadv,3,Generation,0.0
Belgium,GasCCSadv,4,Generation,0.0
Belgium,GasCCSadv,5,Generation,0.0
Belgium,GasCCSadv,6,Generation,0.0
Belgium,GasCCSadv,7,Generation,0.0
Belgium,GasCCSadv,8,Generation,0.0
Belgium,GasOCGT,1,Generation,0.0
Belgium,GasOCGT,2,Generation,0.0
Belgium,GasOCGT,3,Generation,0.0
Belgium,GasOCGT,4,Generation,0.0
Belgium,GasOCGT,5,Generation,0.0
Belgium,GasOCGT,6,Generation,0.0
Belgium,GasOCGT,7,Generation,0.0
Belgium,GasOCGT,8,Generation,0.0
Belgium,Gasexisting,1,Generation,0.0
Belgium,Gasexisting,2,Generation,0.0
Belgium,Gasexisting,3,Generation,0.0
