seed,num_of_sce,runtime,lower_bound,upper_bound
14,10,300,1942305856983.79,2000954973055.6838
15,10,300,1951253197910.308,2010094949169.9363
17,10,300,1958887171606.3457,2016421559318.5337
18,10,300,1960388232494.9756,2023109425993.1643
20,10,300,1969704124211.1484,2023959327823.201
12,10,600,1998506141003.9805,2049160494175.634
15,10,600,1951253197910.308,2007776840610.431
17,10,600,1958887171606.3457,2014251905946.0544
18,10,600,1960388232494.9756,2021340428328.057
19,10,600,1981822501876.2183,2040364456850.5103
20,10,600,1969704124211.1484,2022520746299.9595
11,10,1800,1986276818124.2905,2042605537929.8623
17,10,1800,1958887171606.3457,2012303958019.3687
18,10,1800,1960388232494.9756,2019443704225.8423
16,10,1800,1960240199578.2188,2015663841797.3643
20,10,1800,1969704124211.1484,2020578075863.584
11,10,3600,1986276818124.2905,2042304437533.5369
12,10,3600,1998506141003.9805,2047466425513.9348
13,10,3600,1954971196589.6982,2009642497124.909
15,10,3600,1951253197910.308,2005772094294.3926
16,10,3600,1960240199578.2188,2015453666253.8462
17,10,3600,1958887171606.3457,2012112268849.4985
19,10,3600,1981822501876.2183,2038211989814.5593
11,20,300,1945280037009.1296,2016435773858.3955
12,20,300,1971133139817.051,2031934925321.497
13,20,300,1962925511874.8604,2027394028328.775
14,20,300,1966697278756.8186,2030879299967.1245
15,20,300,1966714445071.374,2031792178081.6797
16,20,300,1949948165050.4465,2016585809266.6094
17,20,300,1955225249549.5488,2026228411560.754
18,20,300,1966982684673.937,2035722694658.1836
19,20,300,1962872365546.905,2030218828317.609
20,20,300,1972093979911.658,2040042938278.245
11,20,600,1945280037009.1296,2014249007170.9731
12,20,600,1971133139817.051,2029969450031.7422
13,20,600,1962925511874.8604,2023649650183.7458
15,20,600,1966714445071.374,2029559233919.875
16,20,600,1949948165050.4465,2014744017796.2427
17,20,600,1955225249549.5488,2024546358682.4773
18,20,600,1966982684673.937,2033498612447.0054
19,20,600,1962872365546.905,2028042848214.355
20,20,600,1972093979911.658,2036771112407.385
11,20,1800,1945280037009.1296,2011740693176.786
12,20,1800,1971133139817.051,2028298081697.131
13,20,1800,1962925511874.8604,2021633089629.3474
14,20,1800,1966697278756.8186,2025531234074.9968
15,20,1800,1966714445071.374,2027218864961.777
16,20,1800,1949948165050.4465,2012949144855.906
17,20,1800,1955225249549.5488,2023406188345.4175
18,20,1800,1966982684673.937,2031750807199.9214
19,20,1800,1962872365546.905,2025947811832.624
20,20,1800,1972093979911.658,2035010368561.7432
11,20,3600,1945280037009.1296,2011630185515.1328
12,20,3600,1971133139817.051,2028095510161.5735
15,20,3600,1966714445071.374,2026999785693.109
20,20,3600,1972093979911.658,2034641831314.6401
19,20,3600,1962872365546.905,2025275380137.8262
11,10,600,1986276818124.2905,2045259826568.0205
14,10,600,1942305856983.79,1999525657349.1345
16,10,600,1960240199578.2188,2018277005785.919
13,10,600,1954971196589.6982,2013322400861.1643
12,10,1800,1998506141003.9805,2048099052463.4805
13,10,1800,1954971196589.6982,2010688827590.2993
14,10,1800,1942305856983.79,1998308823898.5364
15,10,1800,1951253197910.308,2006105502428.5964
19,10,1800,1981822501876.2183,2038781079312.675
14,10,3600,1942305856983.79,1997595373145.192
18,10,3600,1960388232494.9756,2019353107976.0747
16,10,300,1960240199578.2188,2019977988685.0605
19,10,300,1981822501876.2183,2045072828012.371
20,10,3600,1969704124211.1484,2020326029891.9758
14,20,600,1966697278756.8186,2026987980729.183
13,20,3600,1962925511874.8604,2021519557059.178
14,20,3600,1966697278756.8186,2025156822442.0425
16,20,3600,1949948165050.4465,2012303305875.2583
17,20,3600,1955225249549.5488,2022706456458.7568
18,20,3600,1966982684673.937,2030904042863.2534
13,20,3600,1962925511874.8604,2021570617799.4033
20,20,3600,1972093979911.658,2034742462065.4814
